OP,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10 
?,904,904,904,904,904,904,904,904,904,904
?,575,575,575,575,575,575,575,575,575,575
?,448,448,448,448,448,448,448,448,448,448
?,405,405,405,405,405,405,405,405,405,405
?,256,256,256,256,256,256,256,256,256,256
?,168,168,168,168,168,168,168,168,168,168
?,733,733,733,733,733,733,733,733,733,733
?,755,755,755,755,755,755,755,755,755,755
?,662,662,662,662,662,662,662,662,662,662
?,400,400,400,400,400,400,400,400,400,400
?,849,849,849,849,849,849,849,849,849,849
?,388,388,388,388,388,388,388,388,388,388
?,226,226,226,226,226,226,226,226,226,226
?,270,270,270,270,270,270,270,270,270,270
?,82,82,82,82,82,82,82,82,82,82
?,433,433,433,433,433,433,433,433,433,433
?,641,641,641,641,641,641,641,641,641,641
?,246,246,246,246,246,246,246,246,246,246
?,530,530,530,530,530,530,530,530,530,530
?,783,783,783,783,783,783,783,783,783,783
?,820,820,820,820,820,820,820,820,820,820
?,932,932,932,932,932,932,932,932,932,932
?,628,628,628,628,628,628,628,628,628,628
?,827,827,827,827,827,827,827,827,827,827
?,711,711,711,711,711,711,711,711,711,711
?,702,702,702,702,702,702,702,702,702,702
?,279,279,279,279,279,279,279,279,279,279
?,292,292,292,292,292,292,292,292,292,292
?,665,665,665,665,665,665,665,665,665,665
?,761,761,761,761,761,761,761,761,761,761
?,545,545,545,545,545,545,545,545,545,545
?,829,829,829,829,829,829,829,829,829,829
?,276,276,276,276,276,276,276,276,276,276
?,423,423,423,423,423,423,423,423,423,423
?,193,193,193,193,193,193,193,193,193,193
?,874,874,874,874,874,874,874,874,874,874
?,71,71,71,71,71,71,71,71,71,71
?,187,187,187,187,187,187,187,187,187,187
?,140,140,140,140,140,140,140,140,140,140
?,297,297,297,297,297,297,297,297,297,297
?,114,114,114,114,114,114,114,114,114,114
?,653,653,653,653,653,653,653,653,653,653
?,467,467,467,467,467,467,467,467,467,467
?,633,633,633,633,633,633,633,633,633,633
?,464,464,464,464,464,464,464,464,464,464
?,279,279,279,279,279,279,279,279,279,279
?,718,718,718,718,718,718,718,718,718,718
?,638,638,638,638,638,638,638,638,638,638
?,504,504,504,504,504,504,504,504,504,504
?,193,193,193,193,193,193,193,193,193,193
?,329,329,329,329,329,329,329,329,329,329
?,20,20,20,20,20,20,20,20,20,20
?,156,156,156,156,156,156,156,156,156,156
?,51,51,51,51,51,51,51,51,51,51
?,548,548,548,548,548,548,548,548,548,548
?,23,23,23,23,23,23,23,23,23,23
?,191,191,191,191,191,191,191,191,191,191
?,105,105,105,105,105,105,105,105,105,105
?,289,289,289,289,289,289,289,289,289,289
?,276,276,276,276,276,276,276,276,276,276
?,129,129,129,129,129,129,129,129,129,129
?,733,733,733,733,733,733,733,733,733,733
?,449,449,449,449,449,449,449,449,449,449
?,745,745,745,745,745,745,745,745,745,745
?,9,9,9,9,9,9,9,9,9,9
?,239,239,239,239,239,239,239,239,239,239
?,93,93,93,93,93,93,93,93,93,93
?,155,155,155,155,155,155,155,155,155,155
?,16,16,16,16,16,16,16,16,16,16
?,506,506,506,506,506,506,506,506,506,506
?,223,223,223,223,223,223,223,223,223,223
?,351,351,351,351,351,351,351,351,351,351
?,431,431,431,431,431,431,431,431,431,431
?,320,320,320,320,320,320,320,320,320,320
?,805,805,805,805,805,805,805,805,805,805
?,819,819,819,819,819,819,819,819,819,819
-,1510,1510,1510,1510,1510,1510,1510,1510,1510,1510
-,993,993,993,993,993,993,993,993,993,993
-,982,982,982,982,982,982,982,982,982,982
-,86,86,86,86,86,86,86,86,86,86
-,652,652,652,652,652,652,652,652,652,652
-,1752,1752,1752,1752,1752,1752,1752,1752,1752,1752
-,136,136,136,136,136,136,136,136,136,136
-,1405,1405,1405,1405,1405,1405,1405,1405,1405,1405
-,1619,1619,1619,1619,1619,1619,1619,1619,1619,1619
-,738,738,738,738,738,738,738,738,738,738
-,1580,1580,1580,1580,1580,1580,1580,1580,1580,1580
-,1548,1548,1548,1548,1548,1548,1548,1548,1548,1548
-,1742,1742,1742,1742,1742,1742,1742,1742,1742,1742
-,874,874,874,874,874,874,874,874,874,874
-,1032,1032,1032,1032,1032,1032,1032,1032,1032,1032
-,1438,1438,1438,1438,1438,1438,1438,1438,1438,1438
-,1736,1736,1736,1736,1736,1736,1736,1736,1736,1736
-,1092,1092,1092,1092,1092,1092,1092,1092,1092,1092
-,1891,1891,1891,1891,1891,1891,1891,1891,1891,1891
-,1023,1023,1023,1023,1023,1023,1023,1023,1023,1023
-,207,207,207,207,207,207,207,207,207,207
-,734,734,734,734,734,734,734,734,734,734
-,757,757,757,757,757,757,757,757,757,757
-,1468,1468,1468,1468,1468,1468,1468,1468,1468,1468
-,920,920,920,920,920,920,920,920,920,920
-,983,983,983,983,983,983,983,983,983,983
-,636,636,636,636,636,636,636,636,636,636
-,1348,1348,1348,1348,1348,1348,1348,1348,1348,1348
-,1427,1427,1427,1427,1427,1427,1427,1427,1427,1427
-,827,827,827,827,827,827,827,827,827,827
-,1949,1949,1949,1949,1949,1949,1949,1949,1949,1949
-,1451,1451,1451,1451,1451,1451,1451,1451,1451,1451
-,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001
-,1666,1666,1666,1666,1666,1666,1666,1666,1666,1666
-,1108,1108,1108,1108,1108,1108,1108,1108,1108,1108
-,199,199,199,199,199,199,199,199,199,199
-,1987,1987,1987,1987,1987,1987,1987,1987,1987,1987
-,737,737,737,737,737,737,737,737,737,737
-,1016,1016,1016,1016,1016,1016,1016,1016,1016,1016
-,486,486,486,486,486,486,486,486,486,486
-,1291,1291,1291,1291,1291,1291,1291,1291,1291,1291
-,1926,1926,1926,1926,1926,1926,1926,1926,1926,1926
-,1743,1743,1743,1743,1743,1743,1743,1743,1743,1743
-,396,396,396,396,396,396,396,396,396,396
-,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950
-,1867,1867,1867,1867,1867,1867,1867,1867,1867,1867
-,792,792,792,792,792,792,792,792,792,792
-,344,344,344,344,344,344,344,344,344,344
-,1858,1858,1858,1858,1858,1858,1858,1858,1858,1858
-,1748,1748,1748,1748,1748,1748,1748,1748,1748,1748
-,960,960,960,960,960,960,960,960,960,960
-,1918,1918,1918,1918,1918,1918,1918,1918,1918,1918
-,1956,1956,1956,1956,1956,1956,1956,1956,1956,1956
-,1519,1519,1519,1519,1519,1519,1519,1519,1519,1519
-,1717,1717,1717,1717,1717,1717,1717,1717,1717,1717
-,1625,1625,1625,1625,1625,1625,1625,1625,1625,1625
-,935,935,935,935,935,935,935,935,935,935
-,964,964,964,964,964,964,964,964,964,964
-,1256,1256,1256,1256,1256,1256,1256,1256,1256,1256
-,1162,1162,1162,1162,1162,1162,1162,1162,1162,1162
-,1002,1002,1002,1002,1002,1002,1002,1002,1002,1002
-,1147,1147,1147,1147,1147,1147,1147,1147,1147,1147
-,1294,1294,1294,1294,1294,1294,1294,1294,1294,1294
-,971,971,971,971,971,971,971,971,971,971
-,527,527,527,527,527,527,527,527,527,527
-,795,795,795,795,795,795,795,795,795,795
-,656,656,656,656,656,656,656,656,656,656
-,1885,1885,1885,1885,1885,1885,1885,1885,1885,1885
-,802,802,802,802,802,802,802,802,802,802
-,215,215,215,215,215,215,215,215,215,215
-,1332,1332,1332,1332,1332,1332,1332,1332,1332,1332
-,1231,1231,1231,1231,1231,1231,1231,1231,1231,1231
-,1684,1684,1684,1684,1684,1684,1684,1684,1684,1684
-,357,357,357,357,357,357,357,357,357,357
-,91,91,91,91,91,91,91,91,91,91
-,1388,1388,1388,1388,1388,1388,1388,1388,1388,1388
-,763,763,763,763,763,763,763,763,763,763
-,1171,1171,1171,1171,1171,1171,1171,1171,1171,1171
-,1013,1013,1013,1013,1013,1013,1013,1013,1013,1013
-,24,24,24,24,24,24,24,24,24,24
-,1369,1369,1369,1369,1369,1369,1369,1369,1369,1369
-,382,382,382,382,382,382,382,382,382,382
-,987,987,987,987,987,987,987,987,987,987
-,1303,1303,1303,1303,1303,1303,1303,1303,1303,1303
-,793,793,793,793,793,793,793,793,793,793
-,1910,1910,1910,1910,1910,1910,1910,1910,1910,1910
-,937,937,937,937,937,937,937,937,937,937
-,253,253,253,253,253,253,253,253,253,253
-,1835,1835,1835,1835,1835,1835,1835,1835,1835,1835
-,751,751,751,751,751,751,751,751,751,751
-,68,68,68,68,68,68,68,68,68,68
-,477,477,477,477,477,477,477,477,477,477
-,387,387,387,387,387,387,387,387,387,387
-,1966,1966,1966,1966,1966,1966,1966,1966,1966,1966
-,544,544,544,544,544,544,544,544,544,544
-,1628,1628,1628,1628,1628,1628,1628,1628,1628,1628
-,1924,1924,1924,1924,1924,1924,1924,1924,1924,1924
-,1454,1454,1454,1454,1454,1454,1454,1454,1454,1454
-,1464,1464,1464,1464,1464,1464,1464,1464,1464,1464
-,1417,1417,1417,1417,1417,1417,1417,1417,1417,1417
-,1421,1421,1421,1421,1421,1421,1421,1421,1421,1421
-,1616,1616,1616,1616,1616,1616,1616,1616,1616,1616
-,522,522,522,522,522,522,522,522,522,522
-,518,518,518,518,518,518,518,518,518,518
-,586,586,586,586,586,586,586,586,586,586
-,695,695,695,695,695,695,695,695,695,695
-,1694,1694,1694,1694,1694,1694,1694,1694,1694,1694
-,1797,1797,1797,1797,1797,1797,1797,1797,1797,1797
-,1715,1715,1715,1715,1715,1715,1715,1715,1715,1715
-,349,349,349,349,349,349,349,349,349,349
-,1027,1027,1027,1027,1027,1027,1027,1027,1027,1027
-,1883,1883,1883,1883,1883,1883,1883,1883,1883,1883
-,773,773,773,773,773,773,773,773,773,773
-,1315,1315,1315,1315,1315,1315,1315,1315,1315,1315
-,744,744,744,744,744,744,744,744,744,744
-,428,428,428,428,428,428,428,428,428,428
-,805,805,805,805,805,805,805,805,805,805
-,1581,1581,1581,1581,1581,1581,1581,1581,1581,1581
-,575,575,575,575,575,575,575,575,575,575
-,718,718,718,718,718,718,718,718,718,718
-,1326,1326,1326,1326,1326,1326,1326,1326,1326,1326
-,1297,1297,1297,1297,1297,1297,1297,1297,1297,1297
-,1851,1851,1851,1851,1851,1851,1851,1851,1851,1851
-,1277,1277,1277,1277,1277,1277,1277,1277,1277,1277
-,1094,1094,1094,1094,1094,1094,1094,1094,1094,1094
-,352,352,352,352,352,352,352,352,352,352
-,288,288,288,288,288,288,288,288,288,288
-,1675,1675,1675,1675,1675,1675,1675,1675,1675,1675
-,1504,1504,1504,1504,1504,1504,1504,1504,1504,1504
-,176,176,176,176,176,176,176,176,176,176
-,183,183,183,183,183,183,183,183,183,183
-,1633,1633,1633,1633,1633,1633,1633,1633,1633,1633
-,1959,1959,1959,1959,1959,1959,1959,1959,1959,1959
-,1425,1425,1425,1425,1425,1425,1425,1425,1425,1425
-,1306,1306,1306,1306,1306,1306,1306,1306,1306,1306
-,815,815,815,815,815,815,815,815,815,815
-,1123,1123,1123,1123,1123,1123,1123,1123,1123,1123
-,1154,1154,1154,1154,1154,1154,1154,1154,1154,1154
-,439,439,439,439,439,439,439,439,439,439
-,69,69,69,69,69,69,69,69,69,69
-,1233,1233,1233,1233,1233,1233,1233,1233,1233,1233
-,953,953,953,953,953,953,953,953,953,953
-,1905,1905,1905,1905,1905,1905,1905,1905,1905,1905
-,1627,1627,1627,1627,1627,1627,1627,1627,1627,1627
-,187,187,187,187,187,187,187,187,187,187
-,1026,1026,1026,1026,1026,1026,1026,1026,1026,1026
-,657,657,657,657,657,657,657,657,657,657
-,1832,1832,1832,1832,1832,1832,1832,1832,1832,1832
-,1538,1538,1538,1538,1538,1538,1538,1538,1538,1538
-,1439,1439,1439,1439,1439,1439,1439,1439,1439,1439
-,1413,1413,1413,1413,1413,1413,1413,1413,1413,1413
-,74,74,74,74,74,74,74,74,74,74
-,1879,1879,1879,1879,1879,1879,1879,1879,1879,1879
-,18,18,18,18,18,18,18,18,18,18
-,274,274,274,274,274,274,274,274,274,274
-,1620,1620,1620,1620,1620,1620,1620,1620,1620,1620
-,1275,1275,1275,1275,1275,1275,1275,1275,1275,1275
-,1749,1749,1749,1749,1749,1749,1749,1749,1749,1749
-,399,399,399,399,399,399,399,399,399,399
-,1143,1143,1143,1143,1143,1143,1143,1143,1143,1143
-,83,83,83,83,83,83,83,83,83,83
-,1223,1223,1223,1223,1223,1223,1223,1223,1223,1223
-,1802,1802,1802,1802,1802,1802,1802,1802,1802,1802
-,1969,1969,1969,1969,1969,1969,1969,1969,1969,1969
-,879,879,879,879,879,879,879,879,879,879
-,819,819,819,819,819,819,819,819,819,819
-,1363,1363,1363,1363,1363,1363,1363,1363,1363,1363
-,1164,1164,1164,1164,1164,1164,1164,1164,1164,1164
-,888,888,888,888,888,888,888,888,888,888
-,713,713,713,713,713,713,713,713,713,713
-,1681,1681,1681,1681,1681,1681,1681,1681,1681,1681
-,211,211,211,211,211,211,211,211,211,211
-,578,578,578,578,578,578,578,578,578,578
-,1939,1939,1939,1939,1939,1939,1939,1939,1939,1939
-,97,97,97,97,97,97,97,97,97,97
-,265,265,265,265,265,265,265,265,265,265
-,708,708,708,708,708,708,708,708,708,708
-,1124,1124,1124,1124,1124,1124,1124,1124,1124,1124
-,1424,1424,1424,1424,1424,1424,1424,1424,1424,1424
-,115,115,115,115,115,115,115,115,115,115
-,955,955,955,955,955,955,955,955,955,955
-,1009,1009,1009,1009,1009,1009,1009,1009,1009,1009
-,276,276,276,276,276,276,276,276,276,276
-,296,296,296,296,296,296,296,296,296,296
-,721,721,721,721,721,721,721,721,721,721
-,409,409,409,409,409,409,409,409,409,409
-,315,315,315,315,315,315,315,315,315,315
-,1455,1455,1455,1455,1455,1455,1455,1455,1455,1455
-,1528,1528,1528,1528,1528,1528,1528,1528,1528,1528
-,1170,1170,1170,1170,1170,1170,1170,1170,1170,1170
-,545,545,545,545,545,545,545,545,545,545
-,1559,1559,1559,1559,1559,1559,1559,1559,1559,1559
-,121,121,121,121,121,121,121,121,121,121
-,1214,1214,1214,1214,1214,1214,1214,1214,1214,1214
-,1057,1057,1057,1057,1057,1057,1057,1057,1057,1057
-,712,712,712,712,712,712,712,712,712,712
-,685,685,685,685,685,685,685,685,685,685
-,626,626,626,626,626,626,626,626,626,626
-,1695,1695,1695,1695,1695,1695,1695,1695,1695,1695
-,345,345,345,345,345,345,345,345,345,345
-,807,807,807,807,807,807,807,807,807,807
-,1353,1353,1353,1353,1353,1353,1353,1353,1353,1353
-,32,32,32,32,32,32,32,32,32,32
-,1853,1853,1853,1853,1853,1853,1853,1853,1853,1853
-,1892,1892,1892,1892,1892,1892,1892,1892,1892,1892
-,1359,1359,1359,1359,1359,1359,1359,1359,1359,1359
-,358,358,358,358,358,358,358,358,358,358
-,17,17,17,17,17,17,17,17,17,17
-,359,359,359,359,359,359,359,359,359,359
-,1352,1352,1352,1352,1352,1352,1352,1352,1352,1352
-,630,630,630,630,630,630,630,630,630,630
-,1677,1677,1677,1677,1677,1677,1677,1677,1677,1677
-,1781,1781,1781,1781,1781,1781,1781,1781,1781,1781
-,351,351,351,351,351,351,351,351,351,351
-,49,49,49,49,49,49,49,49,49,49
-,1432,1432,1432,1432,1432,1432,1432,1432,1432,1432
-,1430,1430,1430,1430,1430,1430,1430,1430,1430,1430
-,1759,1759,1759,1759,1759,1759,1759,1759,1759,1759
-,535,535,535,535,535,535,535,535,535,535
-,537,537,537,537,537,537,537,537,537,537
-,1651,1651,1651,1651,1651,1651,1651,1651,1651,1651
-,304,304,304,304,304,304,304,304,304,304
-,1656,1656,1656,1656,1656,1656,1656,1656,1656,1656
-,1071,1071,1071,1071,1071,1071,1071,1071,1071,1071
-,899,899,899,899,899,899,899,899,899,899
-,422,422,422,422,422,422,422,422,422,422
-,1163,1163,1163,1163,1163,1163,1163,1163,1163,1163
-,662,662,662,662,662,662,662,662,662,662
-,1374,1374,1374,1374,1374,1374,1374,1374,1374,1374
-,1688,1688,1688,1688,1688,1688,1688,1688,1688,1688
-,1808,1808,1808,1808,1808,1808,1808,1808,1808,1808
-,1458,1458,1458,1458,1458,1458,1458,1458,1458,1458
-,842,842,842,842,842,842,842,842,842,842
-,977,977,977,977,977,977,977,977,977,977
-,1207,1207,1207,1207,1207,1207,1207,1207,1207,1207
-,1878,1878,1878,1878,1878,1878,1878,1878,1878,1878
-,1921,1921,1921,1921,1921,1921,1921,1921,1921,1921
-,478,478,478,478,478,478,478,478,478,478
-,1682,1682,1682,1682,1682,1682,1682,1682,1682,1682
-,988,988,988,988,988,988,988,988,988,988
-,381,381,381,381,381,381,381,381,381,381
-,1389,1389,1389,1389,1389,1389,1389,1389,1389,1389
-,1640,1640,1640,1640,1640,1640,1640,1640,1640,1640
-,1030,1030,1030,1030,1030,1030,1030,1030,1030,1030
-,400,400,400,400,400,400,400,400,400,400
-,1063,1063,1063,1063,1063,1063,1063,1063,1063,1063
-,1487,1487,1487,1487,1487,1487,1487,1487,1487,1487
-,731,731,731,731,731,731,731,731,731,731
-,1536,1536,1536,1536,1536,1536,1536,1536,1536,1536
-,1564,1564,1564,1564,1564,1564,1564,1564,1564,1564
-,782,782,782,782,782,782,782,782,782,782
-,385,385,385,385,385,385,385,385,385,385
-,1965,1965,1965,1965,1965,1965,1965,1965,1965,1965
-,461,461,461,461,461,461,461,461,461,461
-,1847,1847,1847,1847,1847,1847,1847,1847,1847,1847
-,1937,1937,1937,1937,1937,1937,1937,1937,1937,1937
+,1556,468,574,948,729,22,40,253,944,542
+,533,341,501,402,762,160,18,355,700,360
+,1592,640,309,241,513,282,831,63,640,263
+,1459,396,911,834,30,966,568,971,286,230
+,1390,349,918,402,672,140,89,747,391,533
+,857,694,627,893,640,702,232,427,246,586
+,280,436,993,319,931,619,337,459,555,134
+,299,668,141,594,554,700,819,207,883,141
+,761,705,722,920,536,931,138,440,930,999
+,319,148,671,955,578,939,161,325,69,570
+,1150,971,736,121,188,325,859,900,149,744
+,1384,783,326,901,996,423,984,421,310,453
+,903,956,841,915,652,955,756,280,155,797
+,717,109,134,189,26,780,626,631,273,620
+,835,627,236,610,237,236,703,26,367,81
+,927,798,488,137,514,866,619,480,729,665
+,1558,188,872,396,503,485,140,167,197,231
+,1345,418,782,992,15,947,276,973,422,227
+,790,687,207,775,209,67,181,949,977,449
+,227,631,501,704,332,887,468,908,252,437
+,1120,794,42,622,752,844,389,737,320,403
+,364,961,760,585,608,549,537,656,896,721
+,1848,39,533,111,462,467,846,898,43,898
+,974,531,550,405,752,40,571,396,528,783
+,1960,985,50,194,298,450,407,905,311,792
+,1734,292,472,170,432,301,627,941,55,706
+,1814,925,145,474,849,661,462,92,739,512
+,568,184,797,599,960,915,712,559,138,402
+,31,331,461,25,183,464,604,918,729,917
+,1873,903,465,92,256,331,708,664,928,728
+,1281,167,735,750,126,93,116,723,460,649
+,801,87,536,724,393,744,810,998,523,626
+,1612,163,387,563,389,44,786,174,934,343
+,515,892,675,883,153,166,889,148,183,787
+,1050,52,429,315,316,747,787,984,456,295
+,1078,185,120,920,134,983,207,3,637,783
+,895,12,469,509,875,510,556,826,5,622
+,1210,505,243,222,602,675,487,464,419,452
+,1702,615,614,6,250,903,560,284,634,643
+,1871,839,845,212,50,189,151,56,668,357
+,1596,148,874,33,683,591,858,617,305,339
+,1521,89,50,111,426,182,165,688,291,625
+,789,708,716,609,586,806,575,181,989,466
+,53,592,368,953,36,95,786,306,330,377
+,772,388,839,69,776,437,863,563,66,299
+,1176,137,124,711,880,281,337,539,423,537
+,1807,712,214,626,59,111,585,747,644,541
+,911,495,741,705,619,956,807,723,294,437
+,243,868,324,265,538,588,638,362,949,132
+,366,576,508,532,746,647,509,504,827,184
+,780,624,238,725,297,198,1,121,24,476
+,1854,815,120,755,868,212,818,630,424,423
+,966,341,358,573,825,652,217,11,655,206
+,112,288,260,809,69,315,307,518,563,331
+,1985,6,116,702,341,349,405,741,582,630
+,661,29,852,179,198,338,853,346,944,688
+,1062,938,485,816,36,661,139,493,159,642
+,845,913,885,549,917,343,473,802,833,423
+,1282,760,57,855,533,306,578,742,694,323
+,829,548,19,213,591,701,339,818,938,909
+,1877,362,67,992,152,287,860,31,347,384
+,1778,547,862,169,584,620,398,191,609,119
+,238,801,769,315,722,878,322,726,32,278
+,1423,88,508,898,243,380,462,849,973,309
+,1532,537,309,179,114,383,803,38,796,206
+,754,94,454,518,25,818,494,926,512,157
+,1173,348,945,495,750,894,536,317,794,335
+,128,787,892,100,841,960,528,692,135,210
+,1649,37,470,396,730,885,534,118,4,318
+,1336,45,703,868,608,892,89,341,478,910
+,1997,105,533,784,674,763,319,23,591,776
+,1818,654,913,214,328,205,197,293,283,545
+,1788,791,451,687,120,279,152,161,280,117
+,1565,981,637,573,526,104,211,555,358,562
+,1689,277,144,965,721,823,290,587,250,175
+,125,318,627,913,346,553,454,51,133,29
+,1590,924,691,51,108,392,55,88,436,401
+,837,721,610,912,606,644,856,706,716,456
+,1184,364,319,340,837,202,730,776,686,828
+,62,80,997,944,773,782,476,581,134,95
+,706,821,941,715,479,99,466,317,700,659
+,1567,784,476,481,237,970,229,147,881,917
+,376,264,934,372,401,187,716,939,681,338
+,1737,881,903,332,464,499,30,66,486,115
+,371,490,472,866,174,289,786,356,618,588
+,241,520,105,415,837,731,815,109,333,569
+,1711,72,811,309,545,472,410,604,423,244
+,742,249,561,162,997,493,393,67,348,213
+,1420,710,605,441,803,445,580,806,350,557
+,681,241,177,678,685,79,757,953,728,587
+,33,498,117,606,610,474,333,568,99,841
+,286,180,315,978,415,71,612,111,701,833
+,1991,789,839,388,335,506,660,676,62,92
+,822,836,142,908,594,924,773,651,829,0
+,101,150,676,152,463,544,298,399,630,591
+,1274,200,210,697,898,324,306,583,813,935
+,1933,311,940,965,959,445,735,937,352,91
+,1900,8,626,522,413,867,130,872,301,63
+,1156,922,562,991,54,0,720,573,840,367
+,1096,881,288,886,31,240,442,719,604,403
+,464,325,728,391,415,390,445,558,216,678
+,1088,486,142,192,568,393,863,946,368,860
+,1707,157,295,893,686,128,137,11,73,663
+,550,147,738,906,498,673,447,998,139,86
+,753,657,825,425,880,466,915,807,712,618
+,658,435,638,184,465,521,434,565,839,460
+,1906,363,231,190,434,619,7,591,510,867
+,1875,242,729,513,275,420,948,559,590,375
+,984,38,581,494,721,377,115,594,493,984
+,38,81,145,747,748,539,879,768,797,286
+,46,529,80,535,911,624,90,251,483,645
+,1398,679,983,684,79,700,648,552,817,593
+,1615,627,54,925,351,547,797,11,480,464
+,933,927,480,587,751,339,431,361,983,817
+,840,296,171,36,711,945,611,767,311,744
+,475,577,266,62,644,484,592,173,586,52
+,1706,298,828,755,639,27,293,496,84,129
+,226,78,871,802,284,258,135,630,287,281
+,1191,263,14,759,114,618,178,931,605,756
+,574,674,457,378,827,179,267,801,717,241
+,1073,185,818,540,882,33,351,86,990,148
+,482,956,841,157,857,507,770,422,788,392
+,804,676,450,743,652,171,215,591,751,862
+,1676,55,657,270,773,839,118,53,171,475
+,1598,487,308,487,764,971,770,944,545,239
+,684,699,722,399,485,268,148,543,891,445
+,1077,295,949,816,459,391,694,323,984,542
+,1569,978,42,99,939,544,652,362,979,864
+,1441,625,940,667,878,279,343,276,273,821
+,915,261,670,598,400,472,791,691,767,247
+,126,688,602,788,199,532,345,693,706,184
+,1151,560,10,688,8,851,69,12,421,100
+,1018,106,701,456,359,224,742,290,257,197
+,869,24,634,94,58,961,608,672,915,855
+,404,973,613,653,124,725,980,122,88,876
+,1999,133,384,672,782,921,663,579,822,990
+,760,917,113,712,188,259,301,478,676,958
+,1897,654,464,944,283,787,437,708,925,683
+,1923,788,331,263,165,799,75,283,795,63
+,231,397,340,61,264,978,832,271,182,451
+,144,503,950,205,624,402,182,660,503,111
+,77,553,787,441,223,628,658,108,934,452
+,986,265,105,35,74,72,585,745,256,795
+,1008,19,918,509,152,668,655,0,955,38
+,771,399,272,155,716,337,926,400,588,3
+,1400,724,962,789,502,489,446,413,864,745
+,1760,831,804,71,553,231,3,393,977,705
+,263,798,493,124,580,548,957,367,341,698
+,168,410,56,647,981,662,92,374,547,873
+,1968,348,82,861,470,778,784,296,663,207
+,513,567,40,990,393,676,195,306,712,399
+,728,109,645,705,367,498,86,906,647,448
+,374,194,143,36,197,25,737,607,244,500
+,1404,64,811,553,658,315,511,546,988,854
+,1866,460,989,16,37,347,57,345,806,738
+,1089,415,121,216,826,669,683,535,469,962
+,1927,891,895,549,152,758,593,238,947,73
+,1270,753,144,500,669,19,482,928,940,633
+,1887,248,718,664,133,14,176,647,51,926
+,803,840,812,99,467,625,174,855,605,65
+,748,837,108,116,509,609,818,630,225,64
+,884,207,436,345,830,855,755,694,411,332
+,373,999,700,589,558,140,329,856,987,812
+,1989,782,46,607,177,343,64,123,280,144
+,34,425,172,713,378,566,168,449,249,947
+,1540,41,136,102,810,867,647,627,385,796
+,1467,16,900,498,82,6,7,183,948,91
+,1951,667,607,908,290,426,710,826,811,791
+,1394,708,129,211,146,655,277,535,461,421
+,99,960,178,625,708,38,610,184,734,511
+,1876,973,90,642,846,801,308,356,428,4
+,1984,241,196,120,542,1000,97,633,370,883
+,1720,552,519,224,475,788,641,675,213,283
+,1582,198,115,815,152,701,864,991,933,485
+,194,180,163,686,944,44,55,660,372,291
+,651,445,257,342,631,824,911,776,464,44
+,1830,758,53,947,550,180,161,804,29,496
+,1158,118,72,916,240,738,455,606,593,333
+,621,203,765,693,919,333,235,797,112,333
+,235,100,242,755,422,890,204,384,912,225
+,293,482,599,496,55,911,446,148,221,950
+,1053,465,182,396,382,139,468,737,198,647
+,620,998,276,207,343,130,32,708,582,61
+,1859,139,113,872,476,469,428,175,778,351
+,1305,907,302,618,160,808,813,653,975,626
+,8,174,591,993,566,875,235,88,421,877
+,281,500,882,221,605,484,857,473,285,14
+,405,438,753,893,252,253,335,444,593,227
+,674,949,605,968,152,935,587,919,5,427
+,22,41,481,751,787,516,34,435,543,403
+,1733,829,817,713,841,100,463,507,246,85
+,1895,771,12,709,749,416,972,223,135,367
+,588,244,663,92,16,491,685,312,165,720
+,1624,878,584,765,597,24,999,465,474,790
+,1745,895,720,415,189,808,892,379,641,475
+,1245,648,1,881,642,72,394,914,707,340
+,1765,33,303,436,770,276,714,968,627,555
+,1756,813,212,806,701,82,635,901,343,753
+,850,56,527,968,931,690,372,909,52,113
+,1922,374,476,633,41,374,375,179,663,572
+,1042,68,574,726,792,209,141,342,244,552
+,309,664,489,755,961,770,594,892,982,719
+,814,771,762,779,230,328,361,919,273,515
+,967,433,283,55,64,381,353,463,497,513
+,1136,849,125,481,726,544,694,845,545,921
+,1828,462,635,376,819,689,968,709,828,963
+,1049,67,192,913,905,468,89,82,400,919
+,825,295,981,979,78,111,168,282,114,713
+,1731,508,154,895,209,533,974,642,23,300
+,1069,992,698,554,954,135,485,355,430,454
+,75,660,21,298,193,64,22,892,821,237
+,1758,970,532,660,343,421,592,351,671,661
+,559,334,497,607,681,713,542,862,561,455
+,693,311,580,135,919,808,313,175,808,266
+,750,495,380,994,295,788,865,48,151,361
+,1912,466,979,170,633,946,164,728,548,292
+,9,996,179,859,725,709,926,682,813,157
+,682,243,119,42,324,588,129,451,266,378
+,1240,210,575,724,35,681,324,352,151,381
+,470,552,998,166,546,308,124,942,25,414
+,1911,511,786,148,970,469,950,327,159,4
+,653,756,559,999,519,339,662,722,302,485
+,862,296,992,966,772,587,682,150,818,578
+,237,928,944,452,346,705,115,749,490,921
+,1894,142,694,564,119,315,25,411,632,861
+,597,456,365,94,334,56,622,656,199,597
+,1665,227,800,958,785,284,200,23,85,551
+,246,456,693,687,980,89,999,524,403,199
+,699,325,617,619,523,966,57,930,682,369
+,634,151,733,874,437,378,395,381,12,291
+,1128,359,315,1000,456,895,574,89,220,745
+,624,454,759,425,822,453,295,167,825,745
+,80,919,434,746,917,424,142,855,601,612
